圖紙號碼,圖紙名稱,詳圖編號,詳圖名稱,類型名稱,來源模式,需複核,複核原因
ARB-D09022,廁所隔間詳圖,"3,6",小便斗隔屏詳圖,ARB-D09022-廁所隔間詳圖-小便斗隔屏詳圖,"circle_left_title,v4_fallback",是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核；圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09022,廁所隔間詳圖,4,設備背箱面板詳圖(下部),ARB-D09022-廁所隔間詳圖-設備背箱面板詳圖(下部),v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09022,廁所隔間詳圖,5,設備背箱面板詳圖(上部),ARB-D09022-廁所隔間詳圖-設備背箱面板詳圖(上部),v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09024,指標系統詳圖(一),1,A·立地式停車場出入口標示,ARB-D09024-指標系統詳圖(一)-A·立地式停車場出入口標示,circle_left_title,否,
ARB-D09024,指標系統詳圖(一),2,底座收邊框仃=18m),ARB-D09024-指標系統詳圖(一)-底座收邊框仃=18m),circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09024,指標系統詳圖(一),3,c·貼壁式科室空間標示,ARB-D09024-指標系統詳圖(一)-c·貼壁式科室空間標示,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09024,指標系統詳圖(一),4,詳圖A:鋁金接頭,ARB-D09024-指標系統詳圖(一)-詳圖A:鋁金接頭,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09024,指標系統詳圖(一),5-6,圖文以膠膜切割貼附,ARB-D09024-指標系統詳圖(一)-圖文以膠膜切割貼附,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09024,指標系統詳圖(一),7,鋁合金接頭(詳圖A》,ARB-D09024-指標系統詳圖(一)-鋁合金接頭(詳圖A》,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09024,指標系統詳圖(一),10,結構橫剖面詳圖(單面),ARB-D09024-指標系統詳圖(一)-結構橫剖面詳圖(單面),v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09024,指標系統詳圖(一),11,結構横剖面詳圖,ARB-D09024-指標系統詳圖(一)-結構横剖面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09024,指標系統詳圖(一),12,基座結構詳圖,ARB-D09024-指標系統詳圖(一)-基座結構詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09025,指標系統詳圖(二),1,"文字圖案電腦切割鏤空處理,","ARB-D09025-指標系統詳圖(二)-文字圖案電腦切割鏤空處理,",v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09025,指標系統詳圖(二),2,E吊式無障礙專用車位標示,ARB-D09025-指標系統詳圖(二)-E吊式無障礙專用車位標示,circle_left_title,否,
ARB-D09025,指標系統詳圖(二),3,結構横剖面詳圖,ARB-D09025-指標系統詳圖(二)-結構横剖面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09025,指標系統詳圖(二),4,G·貼壁式方向引導標示,ARB-D09025-指標系統詳圖(二)-G·貼壁式方向引導標示,circle_left_title,否,
ARB-D09025,指標系統詳圖(二),5,組合結構圖,ARB-D09025-指標系統詳圖(二)-組合結構圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09026,指標系統詳圖(三),1,H•貼壁式上下樓層標示,ARB-D09026-指標系統詳圖(三)-H•貼壁式上下樓層標示,red_box_annotation,否,
ARB-D09026,指標系統詳圖(三),2,I1·懸臂式無障礙電梯/樓梯標示,ARB-D09026-指標系統詳圖(三)-I1·懸臂式無障礙電梯/樓梯標示,red_box_annotation,否,
ARB-D09026,指標系統詳圖(三),3,I2•懸臂式服務空間標示,ARB-D09026-指標系統詳圖(三)-I2•懸臂式服務空間標示,red_box_annotation,是,圓圈內數字未被 OCR 讀取，使用版面順序補判；紅框附近未讀到詳圖編號，使用版面順序補判
ARB-D09026,指標系統詳圖(三),4,J1·貼壁式服務空間標示,ARB-D09026-指標系統詳圖(三)-J1·貼壁式服務空間標示,red_box_annotation,否,
ARB-D09026,指標系統詳圖(三),5,J2·貼壁式無障礙電梯/樓梯標示,ARB-D09026-指標系統詳圖(三)-J2·貼壁式無障礙電梯/樓梯標示,red_box_annotation,否,
ARB-D09026,指標系統詳圖(三),6,K號標示,ARB-D09026-指標系統詳圖(三)-K號標示,red_box_annotation,否,
ARB-D09026,指標系統詳圖(三),7,L壁式各樓層緊急逃生圖標示,ARB-D09026-指標系統詳圖(三)-L壁式各樓層緊急逃生圖標示,red_box_annotation,否,
ARB-D09027,指標系統詳圖(四),1,M·立地式無障礙設施標示,ARB-D09027-指標系統詳圖(四)-M·立地式無障礙設施標示,circle_left_title,否,
ARB-D09027,指標系統詳圖(四),2,N·貼壁式服務空間標示(哺集乳室),ARB-D09027-指標系統詳圖(四)-N·貼壁式服務空間標示(哺集乳室),circle_left_title,否,
ARB-D09027,指標系統詳圖(四),3,圖文以彩色輸出,ARB-D09027-指標系統詳圖(四)-圖文以彩色輸出,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09027,指標系統詳圖(四),4,LED燈組安裝示意圖(背光),ARB-D09027-指標系統詳圖(四)-LED燈組安裝示意圖(背光),v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09028,FRP水箱詳圖(一),"1,3",RC基座圖,ARB-D09028-FRP水箱詳圖(一)-RC基座圖,"circle_left_title,v4_fallback",是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核；圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09028,FRP水箱詳圖(一),2,基礎精度圖,ARB-D09028-FRP水箱詳圖(一)-基礎精度圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09028,FRP水箱詳圖(一),4,基座圖,ARB-D09028-FRP水箱詳圖(一)-基座圖,circle_left_title,否,
ARB-D09029,FRP水箱詳圖(二),"1,4",RC基座圖,ARB-D09029-FRP水箱詳圖(二)-RC基座圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09029,FRP水箱詳圖(二),2,基礎精度圖,ARB-D09029-FRP水箱詳圖(二)-基礎精度圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09030,防水閘門詳圖,1,防水閘門開平面圖,ARB-D09030-防水閘門詳圖-防水閘門開平面圖,circle_left_title,否,
ARB-D09030,防水閘門詳圖,2,防水閘門關閉平面圖,ARB-D09030-防水閘門詳圖-防水閘門關閉平面圖,circle_left_title,否,
ARB-D09030,防水閘門詳圖,3,防水閘門正立面圖,ARB-D09030-防水閘門詳圖-防水閘門正立面圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09030,防水閘門詳圖,5,防水閘門關閉剖面圖,ARB-D09030-防水閘門詳圖-防水閘門關閉剖面圖,circle_left_title,否,
ARB-D09030,防水閘門詳圖,6,防水閘門鏈側詳圖,ARB-D09030-防水閘門詳圖-防水閘門鏈側詳圖,circle_left_title,否,
ARB-D09030,防水閘門詳圖,7,拖架詳圖,ARB-D09030-防水閘門詳圖-拖架詳圖,circle_left_title,否,
ARB-D09031,防水閘板詳圖,1,防水閘門立面示意圖一單片式,ARB-D09031-防水閘板詳圖-防水閘門立面示意圖一單片式,circle_left_title,否,
ARB-D09031,防水閘板詳圖,"2,4",詳圖H地面固定法大樣),ARB-D09031-防水閘板詳圖-詳圖H地面固定法大樣),"circle_left_title,v4_fallback",是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核；圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09031,防水閘板詳圖,3,A一A剖面示意圖,ARB-D09031-防水閘板詳圖-A一A剖面示意圖,circle_left_title,否,
ARB-D09031,防水閘板詳圖,"5,7",防水閘門板,ARB-D09031-防水閘板詳圖-防水閘門板,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09031,防水閘板詳圖,6,(D一D)詳圖支撐柱(外拉式),ARB-D09031-防水閘板詳圖-(D一D)詳圖支撐柱(外拉式),circle_left_title,否,
ARB-D09031,防水閘板詳圖,"8,10,17",底框詳圖,ARB-D09031-防水閘板詳圖-底框詳圖,"circle_left_title,v4_fallback",是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核；圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09031,防水閘板詳圖,9,邊框大樣圖之詳圖A,ARB-D09031-防水閘板詳圖-邊框大樣圖之詳圖A,circle_left_title,否,
ARB-D09031,防水閘板詳圖,11,未使用中示意圖,ARB-D09031-防水閘板詳圖-未使用中示意圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09031,防水閘板詳圖,12,詳圖Ⅰ,ARB-D09031-防水閘板詳圖-詳圖Ⅰ,circle_left_title,否,
ARB-D09031,防水閘板詳圖,14,石材面崁板安裝立面圖,ARB-D09031-防水閘板詳圖-石材面崁板安裝立面圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,"15,24",牆面安裝示意圖,ARB-D09031-防水閘板詳圖-牆面安裝示意圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,16,石材面崁板安裝示意圖,ARB-D09031-防水閘板詳圖-石材面崁板安裝示意圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,18,置板架立面圖10,ARB-D09031-防水閘板詳圖-置板架立面圖10,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,19,邊框樣之c詳圖,ARB-D09031-防水閘板詳圖-邊框樣之c詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,21,側面詳圖,ARB-D09031-防水閘板詳圖-側面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,22,立面詳圖,ARB-D09031-防水閘板詳圖-立面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,26,邊框大樣之c詳圖,ARB-D09031-防水閘板詳圖-邊框大樣之c詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,27,使用中示意圖,ARB-D09031-防水閘板詳圖-使用中示意圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09032,防煙捲簾及捲門詳圖,1,防煙捲幕(簾)立面詳圖,ARB-D09032-防煙捲簾及捲門詳圖-防煙捲幕(簾)立面詳圖,circle_left_title,否,
ARB-D09032,防煙捲簾及捲門詳圖,2,防煙捲幕(簾)平面詳圖,ARB-D09032-防煙捲簾及捲門詳圖-防煙捲幕(簾)平面詳圖,circle_left_title,否,
ARB-D09032,防煙捲簾及捲門詳圖,"3,7",不鏽鋼捲門立面圖,ARB-D09032-防煙捲簾及捲門詳圖-不鏽鋼捲門立面圖,"circle_left_title,v4_fallback",是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核；圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09032,防煙捲簾及捲門詳圖,4,不鏽鋼鐵捲門剖面圖,ARB-D09032-防煙捲簾及捲門詳圖-不鏽鋼鐵捲門剖面圖,circle_left_title,否,
ARB-D09032,防煙捲簾及捲門詳圖,5,不鏽鋼鐵捲門與隔間詳圖,ARB-D09032-防煙捲簾及捲門詳圖-不鏽鋼鐵捲門與隔間詳圖,circle_left_title,否,
ARB-D09032,防煙捲簾及捲門詳圖,6,不鏽鋼鐵捲門機電系統操作圖,ARB-D09032-防煙捲簾及捲門詳圖-不鏽鋼鐵捲門機電系統操作圖,circle_left_title,否,
ARB-D09032,防煙捲簾及捲門詳圖,8,自動防火連動裝置系統圖,ARB-D09032-防煙捲簾及捲門詳圖-自動防火連動裝置系統圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
